Id,Name,DeveloperName
00l2J0000013Vt4QAE,DocuSign Reports,DocuSign_Reports
00l2J0000013Vt5QAE,DocuSign Dashboard,DocuSign_Dashboard
00l2J0000013Vt6QAE,DocuSign Images,DocuSign_Images
00l2J000001BKTKQA4,With Love Gala,With_Love_Gala
00l2J000001BKseQAG,Merch 2019 Announcement,Merch_2019_Announcement
00l2J000001BLKiQAO,Nonprofit Edition Reports,Nonprofit_Edition_Reports
00l2J000001BLKnQAO,Household Reports,Household_Reports
00l2J000001BLKsQAO,NPSP Health Check,NPSP_Health_Check
00l2J000001BLKtQAO,NPSP Documents,NPSP_Documents
00l2J000001BLKuQAO,NPSP Email Templates,NPSP_Email_Templates
00l2J000001GptFQAS,Unsubscribe Link,jrsl_ul_Unsubscribe_Link
00l2J000001gYc5QAE,iATS Brickwork,iATS_Brickwork
00l2J000001gZ65QAE,SimpleSignature,SimpleSignature
00l2J000001gZ66QAE,Simple Signature,Simple_Signature
00l2J0000023GADQA2,Builds Admin,Builds_Admin
00l2J000002AsplQAC,Twilio Messaging,Twilio_Messaging
00l2J000002AstOQAS,LDA,LDA
00l2J000002AsuHQAS,LD Builds 2019,LD_Builds_2019
00l2J000002AzeLQAS,Educator Consultants,EducatorConsultants
00l2J000002Azk4QAC,Fall 2021 Circles Communications,Fall2021CirclesCommunications
00l2J000002FkPWQA0,June 2020 Sales Push,June2020SalesPush
00l2J000002FkVoQAK,Donor/Fundraising Templates,DonorFundraisingTemplates
00l2J000002N98cQAC,Donor Reports,DonorReports
00l30000000iM81AAE,,
00l30000000iM82AAE,,
00l30000000iM83AAE,,
00l30000000iM84AAE,,
00l30000000iM85AAE,,
00l30000000iM86AAE,,
00l30000000iM87AAE,,
00l30000000iM88AAE,,
00l30000000iM89AAE,,
00l30000000iM8AAAU,,
00l30000000iM8BAAU,,
00l30000000iM8CAAU,,
00l30000000kPu7AAE,Project Management,ProjectManagement
00l30000000kPu8AAE,PI Management,PIManagement
00l30000000kPu9AAE,Project and Issue Management,ProjectandIssueManagement
00l30000000kRcjAAE,Old School Communication Templates,OldSchoolCommunicationTemplates
00l30000000kVWaAAM,Public Documents,PublicDocuments
00l30000000kXRIAA2,Public,Public
00l30000000kXRJAA2,Esker Documents,EskerDocuments
00l30000000kXRKAA2,Esker Reports,EskerReports
00l30000000kXv8AAE,Fax documents,Faxdocuments
00l30000000kYmMAAU,Hero Holiday,HeroHoliday
00l30000000kd9eAAA,Campaigner for Salesforce Dashboard,CampaignerforSalesforceDashboard
00l30000000kd9fAAA,MyApp Folder,MyAppFolder
00l30000000kd9gAAA,Campaigner for Salesforce Reports,CampaignerforSalesforceReports
00l30000000ksfiAAA,Hero Holiday - General Email Templates,HeroHoliday
00l30000000lES4AAM,School,School
00l30000000lGYsAAM,Impact Templates,ImpactTemplates
00l30000000oYvRAAU,,
00l50000000lKweAAE,VE Corporate Docs,VECorporateDocs
00l50000000lZKzAAM,Call Scripting,CallScripting
00l50000000lZL0AAM,Call Scripting Documentation,CallScriptingDocumentation
00l50000000lZL1AAM,Call Scripting,CallScripting
00l50000000le27AAA,School Communications,SchoolCommunications
00l50000000lnPkAAI,,
00l50000000mpwkAAA,Appirio,Appirio
00l50000000mva6AAA,,
00l50000000n47nAAA,Old Hero Holiday Reports,Old_Hero_Holiday_Reports
00l50000000nJuyAAE,Workflow Templates,Workflow_Templates
00l50000000nKPcAAM,VR Email History Contact,VREmailHistoryContact
00l50000000nKPdAAM,VR Email History Lead,VREmailHistoryLead
00l50000000nKPeAAM,VR Email History,VREmailHistory
00l50000000nKPfAAM,VR for AppExchange,VRforAppExchange
00l50000000nLMyAAM,Donor relation Templates,Donor_relation_Templates
00l50000000njTkAAI,Billets,Billets
00l50000000nnKVAAY,Live Different Academy,Live_Different_Academy
00l50000000nrRdAAI,Hero Holiday 2013 - Email Templates,HH_2013_Email_Templates
00l50000000nrRiAAI,Hero Holiday 2014 - Email Templates,HH_2014_Email_Templates
00l50000000nsIGAAY,BP Store Invite,BP_Store_Invite
00l50000000o1ywAAA,Hero Holiday 2015 - Email Templates,Hero_Holiday_2015_Email_Templates
00l50000000o8inAAA,Archived School Communications,Archived_School_Communications
00l50000000oAvAAAU,PPS Campaigns,PPS_Campaigns
00l50000000oAvUAAU,Live Different PPS,Live_Different_PPS
00l50000000oBNnAAM,PPS Contact Campaigns,PPS_Contact_Campaigns
00l50000000oDpoAAE,Schools records to be updated,Schools_records_to_be_updated
00l50000000oFidAAE,Transactions,Transactions
00l50000001GG1rAAG,LDB 2016 - Email Templates,LDB_2016
00l50000001GjB2AAK,Twilio,Twilio
00l50000001GjxaAAC,Builds Contest Emails,Builds_Contest_Emails
00l50000001gLieAAE,Indigenous Specific Communications,Indigenous_Specific_Communications
00l50000001qINZAA2,Projects,Projects
00l50000001qJvBAAU,Love Legacy,Love_Legacy
00l50000001qK30AAE,Drip Campaigns,Drip_Campaigns
00l50000001qKkdAAE,Builds Follow Up & Donors,Builds_Follow_Up_Donors
00l50000001qKqvAAE,Tour Internship,Tour_Internship
00l50000001zFRCAA2,Salesforce1 Branding Resources,Salesforce1_Branding_Resources
00l500000022BUKAA2,Communities Shared Document Folder,Communities_Shared_Document_Folder
00l500000022BXYAA2,School Sales Workflow Emails,School_Sales_Workflow_Emails
00l500000022BgkAAE,Academy,Academy
00l500000022BguAAE,Chatter Reports,Chatter_Reports
00l500000022BgvAAE,Communities Reports,Communities_Reports
00l500000022BgwAAE,Communities Reports 2.0,Communities_Reports_2_0
00l500000022BgxAAE,Community Management Home Reports,Community_Management_Home_Reports
00l500000022BgyAAE,Misc Communities Reports,Misc_Communities_Reports
00l500000022BgzAAE,Insights Engagement,SfdcCommunitiesPulseDefaultActivity
00l500000022Bh0AAE,Insights Files,SfdcCommunitiesPulseDefaultContent
00l500000022Bh1AAE,Insights Groups,SfdcCommunitiesPulseDefaultGroup
00l500000022Bh2AAE,Insights Adoption,SfdcCommunitiesPulseDefaultMember
00l500000022Bh3AAE,Insights Moderation,SfdcCommunitiesPulseDefaultModeration
00l500000022Bh4AAE,Insights Self-Service,SfdcCommunitiesPulseDefaultSelfService
00l500000022Bh5AAE,Insights Topics,SfdcCommunitiesPulseDefaultTopics
00l500000022Bh6AAE,Chatter Dashboards,Chatter_Dashboards
00l500000022Bh7AAE,Communities Dashboards,Communities_Dashboards
00l500000022Bh8AAE,Communities Dashboards 2.0,Communities_Dashboards_2_0
00l500000022Bh9AAE,Community Management  Home Dashboards,Community_Management_Home_Dashboards
00l500000022BiHAAU,Communities,Communities
00l500000022BvVAAU,LDB 2017 - Email Templates,LDB_2017_Email_Templates
00l500000022CAzAAM,Communities,Communities
00l500000022CCMAA2,IATS Brickwork Reports,Brickwork_Reports
00l500000022CCNAA2,Public,Public
00l5000000237PaAAI,LDB 2017 - Nonactive Emails,LDB_2017_Nonactive_Emails
00l5000000237TDAAY,Old Academy Emails,Old_Academy_Emails
00l5000000237ULAAY,MapAnything Documents,MapAnything_Documents
00l60000000lmS3AAI,Accounting Reports,AccountingReports
00l60000000lmS8AAI,Accounting Dashboard,AccountingDashboard
00l60000000lmlAAAQ,Salesforce to QuickBooks Sync,SalesforcetoQuickBooksSync
00l70000000wDJaAAM,Report Collaboration,ReportCollaboration
00lHt0000023SZ2IAM,PRM Reports,prm_channel_reports_folder
00lHt0000023SZ3IAM,Channel Sales Reports,prm_channel_sales_reports_folder
00lHt0000023SZ4IAM,Channel Productivity Reports,prm_channel_producivity_reports_folder
00lHt0000023SZ5IAM,PRM Dashboards,prm_channel_dashboard_folder
00lHt000002FsNWIA0,Jenn Q Builds,Jenn_Q_Builds
00lHt000002FsTPIA0,2023-2024 School Automations,X20232024SchoolAutomationsSchoolAutomations
00lON000002lmzJYAQ,PRM,prm_ch_reports_sub_folder
00lON000002lmzKYAQ,PRM Reports Winter ’24,prm_winter24_reportsSPLIT1707576395265
00lON000002lmzLYAQ,Channel Productivity,prm_winter24_ch_prod_reports_folderSPLIT1707576395265
00lON000002lmzMYAQ,Channel Sales,prm_winter24_ch_sales_reports_folderSPLIT1707576395265
00lON000002lmzNYAQ,PRM Reports Spring ’24,prm_spring24_reportsSPLIT1707576395265
00lON000002lmzOYAQ,Channel Marketing,prm_spring24_ch_marketing_reports_folderSPLIT1707576395265
00lON000002lmzPYAQ,Partner Engagement,prm_spring24_pt_engagement_reports_folderSPLIT1707576395265
00lON000002lmzQYAQ,PRM,prm_ch_dashboards_sub_folder
00lON000002lmzRYAQ,PRM Dashboards Winter ’24,prm_winter24_dashboardsSPLIT1707576395265
00lON000002lmzSYAQ,PRM Dashboards Spring ’24,prm_spring24_dashboardsSPLIT1707576395265
00lON000005OakEYAS,Marketing,Marketing
00lON000008nPaAYAU,With Love Gala,WithLoveGala
00lON000008nRDlYAM,24-25 School Comms,X2425SchoolCommsSchoolComms
00lON000009cDtYYAU,Fundraising Campaigns,FundraisingCampaigns
