DeveloperName,FolderName
CommunityChgEmailVerOldTemplate,unfiled$public
CommunityChgEmailVerNewTemplate,unfiled$public
covid_1a_missed_schools_1588259799360,unfiled$public
covid_1b_prev_3_years_contacts_1588695255998,unfiled$public
covid_2a_missed_schools_from_spring_2020_1589291356645,unfiled$public
covid_2c_schools_that_had_us_1589294998007,unfiled$public
June_2020_Sales_Push_JP_1591203917773,unfiled$public
June_2020_Sales_Push_Follow_Up_JP_1591232337965,unfiled$public
June_2020_Sales_Push_Follow_Up_2_JP_1591632509687,unfiled$public
Calendar_invite_email_with_parents_1544906563809,unfiled$public
CommunityAsyncVerificationEmailTemplate,unfiled$public
CommunityDeviceActEmailTemplate,unfiled$public
ExperienceCloudSelfRegMicroBatchSubErrorEmailTemplate,unfiled$public
BirthdayCronJob,unfiled$public
Billet_Tax_Receipt_Verification_Approval,unfiled$public
CommunityHeadlessForgotPasswordTemplate,unfiled$public
LeadsNewassignmentnotificationSAMPLE,unfiled$public
LeadsWebtoLeademailresponseSAMPLE,unfiled$public
SUPPORTNewassignmentnotificationSAMPLE,unfiled$public
SUPPORTWebtoCaseemailresponseSAMPLE,unfiled$public
SUPPORTCaseResponsewithSolutionSAMPLE,unfiled$public
SUPPORTCaseescalationnotificationSAMPLE,unfiled$public
MotivationalExperienceBulkEmail,unfiled$public
MotivationalPresentationTextintro,unfiled$public
SUPPORTSelfServiceNewUserLoginInformationSAMPLE,unfiled$public
SUPPORTSelfServiceResetPasswordSAMPLE,unfiled$public
SUPPORTSelfServiceNewCommentNotificationSAMPLE,unfiled$public
HHNewsletter,unfiled$public
MailingListResponse,unfiled$public
ErieCountySchoolDistricts,unfiled$public
BCStudentActivityAdvisors,unfiled$public
ProductsUpdated,unfiled$public
OpportuntitywithInvoiceLost,unfiled$public
ThinkDayComingtoyourareaEmailtocontacts,unfiled$public
Monthly_Partner_email_to_general_donor_list,unfiled$public
MP_email_to_Ryan_s_campaign,unfiled$public
Referal_alert,unfiled$public
haiti_Delivery,unfiled$public
